,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
56,StAR:bPAC-,10,0.8459214501510574,9.1,2.680412371134021,1.6494845360824744,1.4432989690721651,1.6494845360824744,2.2680412371134024,1.4432989690721651,0.8247422680412372,1.2371134020618557,1.0309278350515465,1.2371134020618557,13.195876288659795,0,0,0,0,0,0,0
57,StAR:bPAC-,10,1.2084592145015105,9.233333333333333,1.6494845360824744,1.2371134020618557,0.8247422680412372,2.061855670103093,1.2371134020618557,1.6494845360824744,1.6494845360824744,0.6185567010309279,0.8247422680412372,1.0309278350515465,9.484536082474227,0,0,0,0,0,0,0
58,StAR:bPAC-,10,0.6042296072507553,9.0,0.6185567010309279,1.4432989690721651,2.061855670103093,2.4742268041237114,1.6494845360824744,2.2680412371134024,1.2371134020618557,0.8247422680412372,2.061855670103093,1.6494845360824744,9.278350515463918,0,0,0,0,0,0,0
59,TU,10,3.806646525679758,10.233333333333333,2.061855670103093,0.6185567010309279,1.0309278350515465,1.6494845360824744,1.6494845360824744,0.8247422680412372,1.8556701030927836,2.4742268041237114,0.4123711340206186,1.2371134020618557,10.721649484536083,0,0,0,0,0,0,0
60,TU,10,6.314199395770393,12.733333333333333,1.4432989690721651,2.2680412371134024,1.4432989690721651,1.0309278350515465,2.061855670103093,0.8247422680412372,2.8865979381443303,0.4123711340206186,1.0309278350515465,1.8556701030927836,11.75257731958763,0,0,0,0,0,0,0
61,TU,10,0.5135951661631419,12.2,1.0309278350515465,2.061855670103093,0.8247422680412372,0.8247422680412372,2.061855670103093,1.2371134020618557,0.8247422680412372,1.0309278350515465,3.0927835051546393,1.2371134020618557,1.8556701030927836,0,0,0,0,0,0,0
62,TU,10,0.5740181268882175,5.666666666666667,1.4432989690721651,1.6494845360824744,2.4742268041237114,1.6494845360824744,2.061855670103093,2.061855670103093,1.2371134020618557,2.061855670103093,1.8556701030927836,1.8556701030927836,4.3298969072164954,0,0,0,0,0,0,0
63,TU,10,1.148036253776435,14.8,1.2371134020618557,1.8556701030927836,1.8556701030927836,1.6494845360824744,1.0309278350515465,1.0309278350515465,2.061855670103093,0.8247422680412372,1.4432989690721651,0.2061855670103093,20.41237113402062,0,0,0,0,0,0,0
64,StAR:bPAC+,10,0.634441087613293,7.166666666666667,1.0309278350515465,1.0309278350515465,1.0309278350515465,0.8247422680412372,1.0309278350515465,1.0309278350515465,1.2371134020618557,2.061855670103093,1.2371134020618557,1.2371134020618557,0.6185567010309279,0,0,0,0,0,0,0
65,StAR:bPAC+,10,0.4833836858006042,2.2666666666666666,1.8556701030927836,1.2371134020618557,1.8556701030927836,0.8247422680412372,2.061855670103093,1.8556701030927836,1.0309278350515465,1.4432989690721651,2.061855670103093,2.2680412371134024,1.0309278350515465,0,0,0,0,0,0,0
66,StAR:bPAC+,10,0.5438066465256798,7.633333333333334,1.2371134020618557,1.0309278350515465,1.6494845360824744,1.2371134020618557,1.0309278350515465,2.061855670103093,0.6185567010309279,1.8556701030927836,0.4123711340206186,1.6494845360824744,11.958762886597938,0,0,0,0,0,0,0
67,StAR:bPAC+,10,0.6646525679758308,15.5,2.2680412371134024,2.680412371134021,1.6494845360824744,2.680412371134021,1.8556701030927836,1.0309278350515465,0.6185567010309279,1.4432989690721651,1.4432989690721651,0.4123711340206186,16.288659793814436,0,0,0,0,0,0,0
68,StAR:bPAC+,10,0.39274924471299094,10.733333333333333,1.4432989690721651,1.8556701030927836,1.8556701030927836,1.2371134020618557,1.0309278350515465,0.8247422680412372,2.680412371134021,1.8556701030927836,0.6185567010309279,0.8247422680412372,12.577319587628867,0,0,0,0,0,0,0
69,StAR:bPAC-,10,3.8670694864048336,4.6,2.061855670103093,0.8247422680412372,2.061855670103093,1.0309278350515465,0.8247422680412372,2.4742268041237114,4.3298969072164954,3.0927835051546393,2.061855670103093,4.742268041237113,5.773195876288661,0,0,0,0,0,0,0
70,StAR:bPAC-,10,0.7250755287009063,0.8,0.6185567010309279,1.6494845360824744,2.2680412371134024,2.4742268041237114,0.8247422680412372,1.6494845360824744,1.4432989690721651,0.8247422680412372,0.8247422680412372,1.0309278350515465,0.6185567010309279,0,0,0,0,0,0,0
71,StAR:bPAC-,10,0.5438066465256798,16.3,2.061855670103093,2.2680412371134024,1.0309278350515465,1.6494845360824744,1.2371134020618557,2.2680412371134024,2.8865979381443303,2.2680412371134024,2.061855670103093,2.8865979381443303,13.814432989690722,0,0,0,0,0,0,0
72,StAR:bPAC-,10,1.9939577039274923,6.333333333333333,0.6185567010309279,1.4432989690721651,1.0309278350515465,1.8556701030927836,0.6185567010309279,1.0309278350515465,1.4432989690721651,0.4123711340206186,0.8247422680412372,1.2371134020618557,7.010309278350516,0,0,0,0,0,0,0
73,StAR:bPAC-,10,3.7462235649546827,6.9,1.2371134020618557,0.8247422680412372,1.2371134020618557,0.6185567010309279,1.2371134020618557,3.0927835051546393,1.6494845360824744,1.0309278350515465,1.4432989690721651,1.4432989690721651,5.360824742268042,0,0,0,0,0,0,0
